cliente,total_gasto,segmento
Cliente_001,40233.10999999999,Ouro
Cliente_002,4259.3099999999995,Bronze
Cliente_003,45053.2,Ouro
Cliente_004,34840.81,Ouro
Cliente_005,47827.0,Ouro
Cliente_006,43416.68,Ouro
Cliente_007,22801.65,Ouro
Cliente_008,30222.32,Ouro
Cliente_009,54120.02,Ouro
Cliente_010,9498.619999999999,Prata
Cliente_011,15940.539999999999,Ouro
Cliente_012,287.47,Bronze
Cliente_013,3457.08,Bronze
Cliente_014,9272.619999999999,Prata
Cliente_015,25670.93,Ouro
Cliente_016,73681.15999999999,Ouro
Cliente_017,34545.36,Ouro
Cliente_018,15898.92,Ouro
Cliente_019,11353.98,Prata
Cliente_020,4954.66,Bronze
Cliente_021,80966.22,Ouro
Cliente_022,7159.5199999999995,Prata
Cliente_023,14364.76,Prata
Cliente_024,3839.96,Bronze
Cliente_025,11279.55,Prata
Cliente_026,36355.37,Ouro
Cliente_027,50975.07000000001,Ouro
Cliente_028,41412.26,Ouro
Cliente_029,6600.139999999999,Prata
Cliente_030,39126.61,Ouro
Cliente_031,40259.54,Ouro
Cliente_032,13506.36,Prata
Cliente_033,38406.869999999995,Ouro
Cliente_034,15877.45,Ouro
Cliente_035,13130.240000000002,Prata
Cliente_036,45003.75,Ouro
Cliente_037,14058.529999999999,Prata
Cliente_038,27414.52,Ouro
Cliente_039,14991.300000000001,Prata
Cliente_040,21487.17,Ouro
Cliente_041,13343.029999999999,Prata
Cliente_042,35626.95,Ouro
Cliente_043,54601.7,Ouro
Cliente_044,53072.34,Ouro
Cliente_045,23343.510000000002,Ouro
Cliente_046,3684.98,Bronze
Cliente_047,90726.15,Ouro
Cliente_048,21630.24,Ouro
Cliente_049,43279.73,Ouro
Cliente_050,61685.53,Ouro
