id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2024-05-20,Cliente_048,Mouse,Periféricos,Norte,2.0,102.9
2,2024-01-16,Cliente_036,Notebook,Computadores,Sul,10.0,3418.02
3,2024-08-17,Cliente_011, Mouse,Periféricos,Centro-Oeste,9.0,117.1
4,2024-06-21,Cliente_023,Tablet,Celulares,Norte,5.0,1613.96
5,2024-10-01,Cliente_019,Tablet,Celulares,Norte,1.0,1924.06
6,2024-12-26,Cliente_006,Headset,Periféricos,Sul,6.0,358.12
7,2024-08-20,Cliente_014,Headset,Periféricos,Nordeste,2.0,337.41
8,2024-03-28,Cliente_018,Mouse,Periféricos,Norte,2.0,123.93
9,2024-01-29,Cliente_018,Smartphone,Celulares,Sudeste,6.0,
10,2024-06-10,Cliente_042,Smartphone,Celulares,Centro-Oeste,10.0,2448.4
11,2024-10-14,Cliente_038,Smartphone,Celulares,Centro-Oeste,5.0,1962.16
12,2024-03-11,Cliente_008,Tablet,Celulares,Sul,4.0,2068.56
13,2024-08-04,Cliente_030,Mouse,Periféricos,Norte,3.0,130.51
14,2024-01-06,Cliente_049,Tablet,Celulares,Nordeste,9.0,1994.82
15,2024-08-10,Cliente_047,Headset,Periféricos,Nordeste,6.0,
16,2024-02-24,Cliente_039,Teclado,Periféricos,Sul,3.0,250.58
17,2024-10-03,Cliente_039,Smartphone,Celulares,Nordeste,6.0,2373.26
18,2024-07-04,Cliente_004,Monitor,Computadores,Sul,1.0,1060.27
19,2024-09-05,Cliente_009,Teclado,Periféricos,Sul,2.0,218.92
20,2024-03-25,Cliente_014,Mouse,Periféricos,Norte,8.0,136.09
21,2024-07-23,Cliente_034,Headset,Periféricos,Centro-Oeste,4.0,372.36
22,2024-06-22,Cliente_001,Notebook,Computadores,Sudeste,,3210.93
23,2024-01-17,Cliente_043,Mouse,Periféricos,Centro-Oeste,1.0,110.24
24,2024-10-19,Cliente_027,Smartphone,Celulares,Sul,9.0,1957.33
25,2024-06-30,Cliente_044,Notebook,Computadores,Sudeste,2.0,3666.93
26,2024-02-25,Cliente_028,Notebook,Computadores,Sul,7.0,3739.62
27,2024-02-08,Cliente_004,Tablet,Celulares,Norte,8.0,1664.9
