id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_total,mes,mes_nome,trimestre,ano,faixa_receita_item
1,2024-05-20,Cliente_048,Mouse,Periféricos,Norte,2,102.9,205.8,5,May,Q2,2024,Baixo Valor
2,2024-01-16,Cliente_036,Notebook,Computadores,Sul,10,3418.02,34180.2,1,January,Q1,2024,Alto Valor
3,2024-08-17,Cliente_011,Mouse,Periféricos,Centro-Oeste,9,117.1,1053.8999999999999,8,August,Q3,2024,Médio Valor
4,2024-06-21,Cliente_023,Tablet,Celulares,Norte,5,1613.96,8069.8,6,June,Q2,2024,Alto Valor
5,2024-10-01,Cliente_019,Tablet,Celulares,Norte,1,1924.06,1924.06,10,October,Q4,2024,Médio Valor
6,2024-12-26,Cliente_006,Headset,Periféricos,Sul,6,358.12,2148.7200000000003,12,December,Q4,2024,Médio Valor
7,2024-08-20,Cliente_014,Headset,Periféricos,Nordeste,2,337.41,674.82,8,August,Q3,2024,Médio Valor
8,2024-03-28,Cliente_018,Mouse,Periféricos,Norte,2,123.93,247.86,3,March,Q1,2024,Baixo Valor
10,2024-06-10,Cliente_042,Smartphone,Celulares,Centro-Oeste,10,2448.4,24484.0,6,June,Q2,2024,Alto Valor
11,2024-10-14,Cliente_038,Smartphone,Celulares,Centro-Oeste,5,1962.16,9810.800000000001,10,October,Q4,2024,Alto Valor
12,2024-03-11,Cliente_008,Tablet,Celulares,Sul,4,2068.56,8274.24,3,March,Q1,2024,Alto Valor
13,2024-08-04,Cliente_030,Mouse,Periféricos,Norte,3,130.51,391.53,8,August,Q3,2024,Baixo Valor
14,2024-01-06,Cliente_049,Tablet,Celulares,Nordeste,9,1994.82,17953.38,1,January,Q1,2024,Alto Valor
16,2024-02-24,Cliente_039,Teclado,Periféricos,Sul,3,250.58,751.74,2,February,Q1,2024,Médio Valor
17,2024-10-03,Cliente_039,Smartphone,Celulares,Nordeste,6,2373.26,14239.560000000001,10,October,Q4,2024,Alto Valor
18,2024-07-04,Cliente_004,Monitor,Computadores,Sul,1,1060.27,1060.27,7,July,Q3,2024,Médio Valor
19,2024-09-05,Cliente_009,Teclado,Periféricos,Sul,2,218.92,437.84,9,September,Q3,2024,Baixo Valor
20,2024-03-25,Cliente_014,Mouse,Periféricos,Norte,8,136.09,1088.72,3,March,Q1,2024,Médio Valor
21,2024-07-23,Cliente_034,Headset,Periféricos,Centro-Oeste,4,372.36,1489.44,7,July,Q3,2024,Médio Valor
23,2024-01-17,Cliente_043,Mouse,Periféricos,Centro-Oeste,1,110.24,110.24,1,January,Q1,2024,Baixo Valor
24,2024-10-19,Cliente_027,Smartphone,Celulares,Sul,9,1957.33,17615.97,10,October,Q4,2024,Alto Valor
25,2024-06-30,Cliente_044,Notebook,Computadores,Sudeste,2,3666.93,7333.86,6,June,Q2,2024,Alto Valor
26,2024-02-25,Cliente_028,Notebook,Computadores,Sul,7,3739.62,26177.34,2,February,Q1,2024,Alto Valor
27,2024-02-08,Cliente_004,Tablet,Celulares,Norte,8,1664.9,13319.2,2,February,Q1,2024,Alto Valor
28,2024-05-01,Cliente_026,Headset,Periféricos,Sudeste,1,399.24,399.24,5,May,Q2,2024,Baixo Valor
29,2024-07-18,Cliente_028,Smartphone,Celulares,Norte,7,1871.42,13099.94,7,July,Q3,2024,Alto Valor
30,2024-05-31,Cliente_004,Mouse,Periféricos,Nordeste,8,107.57,860.56,5,May,Q2,2024,Médio Valor
31,2024-09-14,Cliente_033,Notebook,Computadores,Sudeste,1,3588.39,3588.39,9,September,Q3,2024,Médio Valor
32,2024-02-04,Cliente_037,Headset,Periféricos,Sul,3,304.69,914.0699999999999,2,February,Q1,2024,Médio Valor
